date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:32	129/129	---M-Z	200	added ('OK')	text/plain	etag:%22a2-53338d7eb89d7-gzip%22	http://www.consultaenderecos.com.br/robots.txt		(from )
15:47:33	11349/11349	---MCZ	200	added ('OK')	text/html	etag:%2272fe10e3e0e9c1c659bbbc84c96caeff%22	http://www.consultaenderecos.com.br/	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/index.html	(from )
15:47:34	100437/100437	---M-Z	200	added ('OK')	text/css	etag:%2218855-50dbb40565b40-gzip%22	http://www.consultaenderecos.com.br/assets/bootstrap-023c4d82f20da127ad05835788265923.css?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/bootstrap-023c4d82f20da127ad058357882659237e76.css	(from http://www.consultaenderecos.com.br/)
15:47:34	5976/5976	---M-Z	200	added ('OK')	text/css	etag:%221758-513f093204e40-gzip%22	http://www.consultaenderecos.com.br/assets/style-f5eeb712fa9390ba1f1fec7e482a0636.css?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/style-f5eeb712fa9390ba1f1fec7e482a06367e76.css	(from http://www.consultaenderecos.com.br/)
15:47:34	17776/17776	---M-Z	200	added ('OK')	text/css	etag:%224570-51286a2b14f00-gzip%22	http://www.consultaenderecos.com.br/assets/font-awesome-069347923bdc32a4b84ee8e756a3137a.css?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/font-awesome-069347923bdc32a4b84ee8e756a3137a7e76.css	(from http://www.consultaenderecos.com.br/)
15:47:35	17371/17371	---MCZ	200	added ('OK')	application/javascript	etag:%22512c5d7d86f455cca4e36d86e93acf18%22	http://www.consultaenderecos.com.br/assets/jquery_ujs-512c5d7d86f455cca4e36d86e93acf18.js?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/jquery_ujs-512c5d7d86f455cca4e36d86e93acf187e76.js	(from http://www.consultaenderecos.com.br/)
15:47:36	18883/18883	---MCZ	200	added ('OK')	application/javascript	etag:%22d651ab99abe7019241079915159bc0ce%22	http://www.consultaenderecos.com.br/assets/turbolinks-d651ab99abe7019241079915159bc0ce.js?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/turbolinks-d651ab99abe7019241079915159bc0ce7e76.js	(from http://www.consultaenderecos.com.br/)
15:47:36	369/369	---M-Z	200	added ('OK')	application/javascript	etag:%22171-51286a2b14f00-gzip%22	http://www.consultaenderecos.com.br/assets/custom-e7153e31674e68b62de2359f5da5edf1.js?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/custom-e7153e31674e68b62de2359f5da5edf17e76.js	(from http://www.consultaenderecos.com.br/)
15:47:36	397/397	---M-Z	200	added ('OK')	application/javascript	etag:%2218d-51286a2b14f00-gzip%22	http://www.consultaenderecos.com.br/assets/google-analytics-c3411c31260a95af917122ca0fa7d358.js?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/google-analytics-c3411c31260a95af917122ca0fa7d3587e76.js	(from http://www.consultaenderecos.com.br/)
15:47:36	29112/29112	---M-Z	200	added ('OK')	application/javascript	etag:%2271b8-50dbb40565b40-gzip%22	http://www.consultaenderecos.com.br/assets/bootstrap.min-c388612d6a8af2cb2535beea1ff3457e.js?body=1	C:/My%20Web%20Sites/sistemas%20web/www.consultaenderecos.com.br/assets/bootstrap.min-c388612d6a8af2cb2535beea1ff3457e7e76.js	(from http://www.consultaenderecos.com.br/)
